date,country,election,status
"June 1, 2005",Kingdom of the Netherlands,Referendum,Held
"May 31, 2005",Republic of Zimbabwe,Election for Zimbabwean National Assembly,Held
"May 29, 2005",Lebanese Republic,Election for Majlis al-Nuwab (Lebanese National Assembly),Held
"May 29, 2005",French Republic,Referendum,Held
"May 25, 2005",Republic of Suriname,Election for Nationale Assemblée (Surinamese National Assembly),Held
"May 25, 2005",Arab Republic of Egypt,Referendum,Held
"May 22, 2005",Mongolia,Election for President,Held
"May 15, 2005",Federal Democratic Republic of Ethiopia,Election for Yehizb Tewokayoch Mekir Bete (Ethiopian House of People's Representatives),Held
"May 11, 2005",Cayman Islands,Election for Cayman Legislative Assembly,Held
"May 8, 2005",Central African Republic,Election for President,Held
"May 8, 2005",Central African Republic,Election for Assemblée Nationale (Central African National Assembly),Held
"May 5, 2005",Commonwealth of Dominica,Election for Dominican House of Assembly,Held
"May 5, 2005",United Kingdom of Great Britain and Northern Ireland,Election for British House of Commons,Held
"April 24, 2005",Togolese Republic,Election for President,Held
"April 24, 2005",Principality of Andorra,Election for Consell General d'Andorra (Andorran General Council),Held
"April 17, 2005",Basque Country,Election for Eusko Legebiltzarra (Basque Parliament),Held
"April 8, 2005",Republic of Djibouti,Election for President,Held
"April 4, 2005",Republic of Moldova,Election for President,Held
"March 17, 2005",Kingdom of Tonga,Election for Fale Alea (Tongan Legislative Assembly),Held
"March 13, 2005",Central African Republic,Election for President,Held
"March 13, 2005",Central African Republic,Election for Assemblée Nationale (Central African National Assembly),Held
"March 12, 2005",Republic of Tajikistan,Election for Majlisi Milli (Tajikistan National Assembly),Held
"March 12, 2005",Republic of Tajikistan,Election for Majlisi Namoyandagon (Tajikistan Assembly of Representatives),Held
"March 11, 2005",Principality of Liechtenstein,Election for Landtag (Liechtenstein Parliament),Held
"March 8, 2005",Federated States Of Micronesia,Election for Congress of the Federated States of Micronesia,Held
"March 6, 2005",Republic of Moldova,Election for Parlament (Moldovan Parliament),Held
"Feb. 28, 2005",Republic of Burundi,Referendum,Held
"Feb. 27, 2005",Republic of Tajikistan,Election for Majlisi Namoyandagon (Tajikistan Assembly of Representatives),Held
"Feb. 27, 2005",Republic of Tajikistan,Election for Majlisi Milli (Tajikistan National Assembly),Held
"Feb. 21, 2005",Anguilla,Election for Anguillian House of Assembly,Held
"Feb. 20, 2005",Kingdom of Spain,Referendum,Held
"Feb. 20, 2005",Portuguese Republic,Election for Assembleia da República (Portuguese Assembly of the Republic),Held
"Feb. 8, 2005",Kingdom of Denmark,Election for Folketinget (Danish Parliament),Held
"Feb. 8, 2005",Hellenic Republic,Election for President,Held
"Jan. 30, 2005",Republic of Iraq,Election for Majlis an-Nuwwab al-`Iraqiyy (Iraqi Council of Representatives),Held
"Jan. 22, 2005",Republic of Maldives,Election for Majlis (Maldivian People's Council),Held
"Jan. 16, 2005",Republic of Croatia,Election for President,Held
"Jan. 9, 2005",Occupied Palestinian Territories,Election for President,Held
"Jan. 2, 2005",Republic of Croatia,Election for President,Held
"Dec. 26, 2004",Ukraine,Election for President,Held
"Dec. 12, 2004",Romania,Election for President,Held
"Dec. 7, 2004",Republic of Ghana,Election for President,Held
"Dec. 7, 2004",Republic of Ghana,Election for Ghanaian Parliament,Held
"Dec. 5, 2004",Hungary,Referendum,Held
"Dec. 4, 2004",Republic of Niger,Election for President,Held
"Dec. 2, 2004",Republic of Mozambique,Election for President,Held
"Dec. 2, 2004",Republic of Mozambique,Election for Assembleia da República (Mozambican Assembly ),Held
"Nov. 28, 2004",Romania,Election for Camera Deputaţilor (Romanian Chamber of Deputies),Held
"Nov. 28, 2004",Romania,Election for Senat (Romanian Senate),Held
"Nov. 28, 2004",Swiss Confederation,Referendum,Held
"Nov. 28, 2004",Romania,Election for President,Held
"Nov. 21, 2004",Ukraine,Election for President,Held
"Nov. 16, 2004",Republic of Niger,Election for Assemblée Nationale (Nigerien National Assembly),Held
"Nov. 16, 2004",Republic of Niger,Election for President,Held
"Nov. 15, 2004",Republic of Namibia,Election for President,Held
"Nov. 15, 2004",Republic of Namibia,Election for Namibian National Assembly,Held
"Nov. 12, 2004",Czech Republic,Election for Senát (Czech Senate),Held
"Nov. 8, 2004",Republic of Bostwana,Election for President,Held
"Nov. 7, 2004",Republic of North Macedonia,Referendum,Held
"Nov. 5, 2004",Czech Republic,Election for Senát (Czech Senate),Held
"Nov. 2, 2004",Republic of Palau,Election for Palauan House of Delegates,Held
"Nov. 2, 2004",Republic of Palau,Election for President,Held
"Nov. 2, 2004",United States of America,Election for US Senate,Held
"Nov. 2, 2004",United States of America,Election for US House of Representatives,Held
"Nov. 2, 2004",Republic of Palau,Election for Palauan Senate,Held
"Oct. 31, 2004",Ukraine,Election for President,Held
"Oct. 31, 2004",Oriental Republic of Uruguay,Election for Cámara de Senadores (Uruguayan Chamber of Senators),Held
"Oct. 31, 2004",Oriental Republic of Uruguay,Election for Cámara de Representantes (Uruguayan Chamber of Representatives),Held
"Oct. 31, 2004",Oriental Republic of Uruguay,Election for President,Held
"Oct. 30, 2004",Republic of Bostwana,Election for Botswana National Assembly,Held
"Oct. 25, 2004",Federation of Saint Kitts and Nevis,Election for Kittitian and Nevisian National Assembly,Held
"Oct. 24, 2004",Republic of Lithuania,Election for Seimas (Lithuanian Parliament),Held
"Oct. 24, 2004",Tunisian Republic,Election for President,Held
"Oct. 24, 2004",Tunisian Republic,Election for al-Majlis al-Waṭanī at-Ta’sīsī (Tunisian Constituent Assembly),Held
"Oct. 23, 2004",Republic of Kosovo,Election for Kuvendi i Kosovës/Skupština Kosova (Kosovac Assembly),Held
"Oct. 17, 2004",Republic of Belarus,Election for Palata Predstaviteley (Belarusian Chamber of Representatives),Held
"Oct. 11, 2004",Republic of Cameroon,Election for President,Held
"Oct. 10, 2004",Republic of Lithuania,Election for Seimas (Lithuanian Parliament),Held
"Oct. 9, 2004",Islamic Republic of Afghanistan,Election for President,Held
"Oct. 9, 2004",Commonwealth of Australia,Election for Australian Senate,Held
"Oct. 9, 2004",Commonwealth of Australia,Election for Australian House of Representatives,Held
"Oct. 3, 2004",Republic of Slovenia,Election for Državni Zbor (Slovenian National Assembly),Held
"Sept. 26, 2004",Swiss Confederation,Referendum,Held
"Sept. 20, 2004",Republic of Indonesia,Election for President,Held
"Sept. 12, 2004",Hong Kong Special Administrative Region,Election for Hong Kong Legislative Council,Held
"Sept. 7, 2004",Cook Islands,Election for Cook Islands Parliament,Held
"Aug. 15, 2004",Bolivarian Republic of Venezuela,Referendum,Held
"July 18, 2004",Plurinational State of Bolivia,Referendum,Held
"July 11, 2004",Japan,Election for Sangiin (Japanese House of Councillors),Held
"July 5, 2004",Republic of Indonesia,Election for President,Held
"July 5, 2004",Republic of Vanuatu,Election for Ni-Vanuatu Parliament,Held
"June 28, 2004",Canada,Election for Chambre des Communes (Canadian House of Commons),Held
"June 27, 2004",Mongolia,Election for Ulsyn Ikh Khural (Mongolian State Great Hural),Held
"June 27, 2004",Republic of Serbia,Election for President,Held
"June 27, 2004",Republic of Lithuania,Election for President,Held
"June 26, 2004",Republic of Iceland,Election for President,Held
"June 13, 2004",Grand Duchy of Luxembourg,Election for Chambre des Députés (Luxembourg Chamber of Deputies),Held
"June 13, 2004",Republic of Lithuania,Election for President,Held
"June 13, 2004",Republic of Serbia,Election for President,Held
"June 10, 2004",European Union,Election for European Parliament,Held
"May 20, 2004",Republic of Malawi,Election for President,Held
"May 20, 2004",Republic of Malawi,Election for Malawian National Assembly,Held
"May 16, 2004",Swiss Confederation,Referendum,Held
"May 16, 2004",Dominican Republic,Election for President,Held
"May 10, 2004",Republic of the Philippines,Election for Senado (Philippine Senate),Held
"May 10, 2004",Republic of India,Election for Lok Sabha (Indian People's Assembly),Held
"May 10, 2004",Republic of the Philippines,Election for President,Held
"May 10, 2004",Republic of the Philippines,Election for Kapulungan Ng Mga Kinatawan (Philippine House of Representatives),Held
"May 5, 2004",Republic of India,Election for Lok Sabha (Indian People's Assembly),Held
"May 2, 2004",Republic of Panama,Election for President,Held
"May 2, 2004",Republic of Panama,Election for Asamblea Nacional (Panamanian National Assembly),Held
"April 28, 2004",Republic of North Macedonia,Election for President,Held
"April 26, 2004",Republic of India,Election for Lok Sabha (Indian People's Assembly),Held
"April 25, 2004",Republic of Austria,Election for President,Held
"April 25, 2004",Republic of Equatorial Guinea,Election for Camara de Representantes del Pueblo (Equatorial Guinean House of People's Representatives),Held
"April 24, 2004",Republic of South Africa,Election for President,Held
"April 24, 2004",Turkish Republic of Northern Cyprus (TRNC),Referendum,Held
"April 24, 2004",Republic of Cyprus,Referendum,Held
"April 20, 2004",Republic of India,Election for Lok Sabha (Indian People's Assembly),Held
"April 17, 2004",Slovak Republic,Election for President,Held
"April 15, 2004",Republic of Korea,Election for Kukhoe (South Korean National Assembly),Held
"April 14, 2004",Republic of North Macedonia,Election for President,Held
"April 14, 2004",Republic of South Africa,Election for South African National Assembly,Held
"April 8, 2004",People's Democratic Republic of Algeria,Election for President,Held
"April 4, 2004",Republic of Slovenia,Referendum,Held
"April 3, 2004",Slovak Republic,Election for President,Held
"April 3, 2004",Slovak Republic,Referendum,Held
"April 2, 2004",Democratic Socialist Republic of Sri Lanka,Election for Sri Lankan Parliament,Held
"March 28, 2004",Republic of Guinea-Bissau,Election for Assembleia Nacional Popular (Bissau-Guinean People's National Assembly),Held
"March 28, 2004",Georgia,Election for Sakartvelos Parlamenti (Georgian Parliament),Held
"March 23, 2004",Antigua and Barbuda,Election for Antiguan and Barbudan House of Representatives,Held
"March 21, 2004",Malaysia,Election for Dewan Rakyat (Malaysian House of Representatives),Held
"March 21, 2004",Republic of El Salvador,Election for President,Held
"March 20, 2004",Republic of China,Election for President,Held
"March 20, 2004",Republic of China,Referendum,Held
"March 14, 2004",Kingdom of Spain,Election for Congreso de los Diputados (Spanish Congress of Deputies),Held
"March 14, 2004",Kingdom of Spain,Election for Senado (Spanish Senate),Held
"March 14, 2004",Autonomous Community of Andalusia,Election for Parlamento de Andalucia (Andalusian Parliament),Held
"March 14, 2004",Russian Federation,Election for President,Held
"March 7, 2004",Hellenic Republic,Election for Vouli ton Ellinon (Greek Parliament),Held
"Jan. 20, 2004",Faroe Islands,Election for Løgting (Faroese Parliament),Held
"Jan. 4, 2004",Georgia,Election for President,Held
"Dec. 28, 2003",Republic of Guatemala,Election for President,Held
"Dec. 28, 2003",Republic of Serbia,Election for Narodna skupština (Serbian National Assembly),Held
"Dec. 21, 2003",Republic of Guinea,Election for President,Held
"Dec. 7, 2003",Russian Federation,Election for Gosudarstvennaya Duma (Russian Federal Duma),Held
"Nov. 27, 2003",Gibraltar,Election for Gibraltarian Parliament,Held
"Nov. 27, 2003",Grenada,Election for Grenadian House of Representatives,Held
"Nov. 26, 2003",Northern Ireland,Election for Tionól Thuaisceart Éireann (Northern Ireland Assembly),Held
"Nov. 23, 2003",Republic of Croatia,Election for Hrvatski Sabor (Croatian Assembly),Held
"Nov. 16, 2003",Catalunya (Comunitat autònoma d'Espanya),Election for Parlament de Catalunya (Catalan Parliament),Held
"Nov. 16, 2003",Republic of Serbia,Election for President,Held
"Nov. 9, 2003",Japan,Election for Dáil Éireann (Irish House of Representatives),Held
"Nov. 9, 2003",Republic of Guatemala,Election for President,Held
"Nov. 9, 2003",Republic of Guatemala,Election for Congreso de la Republica (Guatemalan Congress of the Republic),Held
"Nov. 7, 2003",Islamic Republic of Mauritania,Election for President,Held
"Nov. 2, 2003",Georgia,Election for Sakartvelos Parlamenti (Georgian Parliament),Held
"Nov. 2, 2003",Georgia,Referendum,Held
"Oct. 25, 2003",Republic of Colombia,Referendum,Held
"Oct. 19, 2003",Swiss Confederation,Election for Nationalrat/Conseil National/Consiglio Nazionale (Swiss National Council),Held
"Oct. 17, 2003",Republic of Maldives,Referendum,Held
"Oct. 15, 2003",Republic of Azerbaijan,Election for President,Held
"Oct. 4, 2003",Sultanate of Oman,Election for Majlis al-Shura (Omani Consultative Assembly),Held
"Sept. 29, 2003",Republic of Rwanda,Election for Chambre des Députés (Rwandan Chamber of Deputies),Held
"Sept. 20, 2003",Republic of Latvia,Referendum,Held
"Sept. 14, 2003",Kingdom of Sweden,Referendum,Held
"Sept. 14, 2003",Republic of Estonia,Referendum,Held
"Aug. 25, 2003",Republic of Rwanda,Election for President,Held
"July 27, 2003",Kingdom of Cambodia,Election for Radhsphea Ney Preah Recheanachakr Kampuchea (Cambodian National Assembly),Held
"July 24, 2003",Bermuda,Election for Bermudian House of Assembly,Held
"July 6, 2003",United Mexican States,Election for Camara de Diputados (Mexican Chamber of Deputies),Held
"July 6, 2003",Corsica,Referendum,Held
"July 4, 2003",Republic of Kiribati,Election for President,Held
"June 22, 2003",Republic of Tajikistan,Referendum,Held
"June 20, 2003",Republic of Latvia,Election for President,Held
"June 17, 2003",Hashemite Kingdom of Jordan,Election for Majlis al-Nuwaab (Jordanian House of Deputies),Held
"June 16, 2003",British Virgin Islands,Election for British Virgin Islands House of Assembly,Held
"June 15, 2003",Italian Republic,Referendum,Held
"June 13, 2003",Czech Republic,Referendum,Held
"June 1, 2003",Togolese Republic,Election for President,Held
"May 26, 2003",Republic of Rwanda,Referendum,Held
"May 25, 2003",Republic of Armenia,Election for Azgayin Zhoghov (Armenian National Assembly),Held
"May 25, 2003",Republic of Armenia,Referendum,Held
"May 21, 2003",Barbados,Election for Barbadian House of Assembly,Held
"May 18, 2003",Swiss Confederation,Referendum,Held
"May 18, 2003",Kingdom of Belgium,Election for Senaat / Senat (Belgian Senate),Held
"May 18, 2003",Kingdom of Belgium,Election for Volksvertegenwoordigers / Chambre des Representants (Belgian Chamber of Representatives),Held
"May 16, 2003",Slovak Republic,Referendum,Held
"May 11, 2003",Montenegro,Election for President,Held
"May 10, 2003",Republic of Lithuania,Referendum,Held
"May 10, 2003",Republic of Iceland,Election for Althing (Icelandic Parliament),Held
"May 9, 2003",Republic of Kiribati,Election for Maneaba ni Maungatabu (Kiribati House of Assembly),Held
"May 3, 2003",Republic of Nauru,Election for Nauruan Parliament,Held
"May 1, 2003",Scotland,Election for Pàrlamaid na h-Alba (Scottish Parliament),Held
"May 1, 2003",Wales,Election for Cynulliad Cenedlaethol Cymru (National Assembly for Wales),Held
"April 29, 2003",State of Qatar,Referendum,Held
"April 27, 2003",Argentine Republic,Election for Cámara de Diputados (Argentinian Chamber of Deputies),Held
"April 27, 2003",Republic of Paraguay,Election for President,Held
"April 27, 2003",Republic of Paraguay,Election for Camara de Senadores (Paraguayan Chamber of Senators),Held
"April 27, 2003",Argentine Republic,Election for Senado (Argentinian Senate),Held
"April 27, 2003",Argentine Republic,Election for President,Held
"April 27, 2003",Republic of Paraguay,Election for Camara de Diputados (Paraguayan Chamber of Deputies),Held
"April 27, 2003",Republic of Yemen,Election for Majlis Annowab (Yemeni House of Representatives),Held
"April 19, 2003",Federal Republic of Nigeria,Election for President,Held
"April 12, 2003",Hungary,Referendum,Held
"April 12, 2003",Federal Republic of Nigeria,Election for Nigerian Senate,Held
"April 12, 2003",Republic of Malta,Election for Il-Kamra Tad-Deputati (Maltese House of Representatives),Held
"April 12, 2003",Federal Republic of Nigeria,Election for Nigerian House of Representatives,Held
"April 6, 2003",Turkmenistan,Referendum,Held
"March 30, 2003",Republic of Benin,Election for Assemblée Nationale (Beninese National Assembly),Held
"March 23, 2003",Republic of Slovenia,Referendum,Held
"March 16, 2003",Republic of El Salvador,Election for Asamblea Legislativa (Salvadorian Legislative Assembly),Held
"March 16, 2003",Republic of Finland,Election for Eduskunta (Finnish Parliament),Held
"March 14, 2003",Principality of Liechtenstein,Referendum,Held
"March 8, 2003",Republic of Malta,Referendum,Held
"March 5, 2003",Belize,Election for Belizean House of Representatives,Held
"March 5, 2003",Republic of Armenia,Election for President,Held
"March 4, 2003",Federated States Of Micronesia,Election for Congress of the Federated States of Micronesia,Held
"March 2, 2003",Republic of Estonia,Election for Riigikogu (Estonian Parliament),Held
"March 2, 2003",Syrian Arab Republic,Election for Majlis al-Shaab (Syrian People's Council),Held
"Feb. 28, 2003",Czech Republic,Election for President,Held
"Feb. 19, 2003",Republic of Armenia,Election for President,Held
"Feb. 16, 2003",Republic of Cyprus,Election for President,Held
"Feb. 9, 2003",Montenegro,Election for President,Held
"Feb. 2, 2003",Kyrgyz Republic,Referendum,Held
"Jan. 28, 2003",State of Israel,Election for Knesset (Israeli Knesset),Held
"Jan. 24, 2003",Czech Republic,Election for President,Held
"Jan. 22, 2003",Kingdom of the Netherlands,Election for Tweede Kamer (Dutch Second Chamber),Held
"Jan. 15, 2003",Czech Republic,Election for President,Held
"Jan. 10, 2003",Republic of Djibouti,Election for Assemblée nationale (Djiboutian National Assembly),Held
"Jan. 5, 2003",Republic of Lithuania,Election for President,Held
"Dec. 27, 2002",Republic of Kenya,Election for Kenyan National Assembly,Held
"Dec. 27, 2002",Republic of Kenya,Election for President,Held
"Dec. 22, 2002",Republic of Lithuania,Election for President,Held
"Dec. 22, 2002",Montenegro,Election for President,Held
"Dec. 19, 2002",Republic of Korea,Election for President,Held
"Dec. 15, 2002",Republic of Equatorial Guinea,Election for President,Held
"Dec. 8, 2002",Republic of Serbia,Election for President,Held
"Dec. 4, 2002",Republic of Seychelles,Election for Assemblée Nationale (Seychellois National Assembly),Held
"Dec. 1, 2002",Republic of Slovenia,Election for President,Held
"Nov. 29, 2002",Republic of Kiribati,Election for Maneaba ni Maungatabu (Kiribati House of Assembly),Held
"Nov. 24, 2002",Republic of Ecuador,Election for President,Held
"Nov. 24, 2002",Republic of Austria,Election for Nationalrat (Austrian National Council),Held
"Nov. 10, 2002",Republic of Slovenia,Election for President,Held
"Nov. 7, 2002",Gibraltar,Referendum,Held
"Nov. 5, 2002",United States of America,Election for US Senate,Held
"Nov. 5, 2002",United States of America,Election for US House of Representatives,Held
"Nov. 3, 2002",Republic of Turkey,Election for Türkiye Büyük Millet Meclisi (Grand National Assembly of Turkey),Held
"Oct. 27, 2002",Federative Republic of Brazil,Election for President,Held
"Oct. 27, 2002",Togolese Republic,Election for Assemblée nationale (Togolese National Assembly),Held
"Oct. 24, 2002",Kingdom of Bahrain,Election for Majlis Al-Nuwab (Bahraini Council of Representatives),Held
"Oct. 20, 2002",Republic of Ecuador,Election for Congreso Nacional (Ecuadorian National Congress),Held
"Oct. 20, 2002",Montenegro,Election for Skupstina (Montenegrin Assembly),Held
"Oct. 20, 2002",Republic of Ecuador,Election for President,Held
"Oct. 19, 2002",Ireland,Referendum,Held
"Oct. 16, 2002",Jamaica,Election for Jamaican House of Representatives,Held
"Oct. 13, 2002",Republic of Serbia,Election for President,Held
"Oct. 10, 2002",Islamic Republic of Pakistan,Election for Qaumī Asimbli'e Pākistān (Pakistani National Assembly),Held
"Oct. 7, 2002",Republic of Trinidad and Tobago,Election for Trinidadian House of Representatives,Held
"Oct. 6, 2002",Federative Republic of Brazil,Election for President,Held
"Oct. 6, 2002",Federative Republic of Brazil,Election for Camara dos Deputados (Brazilian Chamber of Deputies),Held
"Oct. 6, 2002",Federative Republic of Brazil,Election for Senado Federal (Brazilian Federal Senate),Held
"Oct. 5, 2002",Republic of Latvia,Election for Saeima (Latvian Parliament),Held
"Oct. 5, 2002",Bosnia and Herzegovina,Election for Chairman of the Presidency (Chairman of the Presidency),Held
"Sept. 29, 2002",Republic of Serbia,Election for President,Held
"Sept. 27, 2002",Kingdom of Morocco,Election for Majlis al-Nuwab (Moroccan Chamber of Representatives),Held
"Sept. 22, 2002",Federal Republic of Germany,Election for Bundestag (German Federal Diet),Held
"Sept. 22, 2002",Swiss Confederation,Referendum,Held
"Sept. 21, 2002",Slovak Republic,Election for Národná rada (Slovak National Council),Held
"Sept. 15, 2002",Republic of North Macedonia,Election for Sobranie (North Macedonian Assembly ),Held
"Aug. 27, 2002",Federated States Of Micronesia,Referendum,Held
"Aug. 24, 2002",Republic of Azerbaijan,Referendum,Held
"Aug. 15, 2002",Kingdom of Sweden,Election for Riksdag (Swedish Parliament),Held
"July 27, 2002",New Zealand,Election for New Zealand House of Representatives,Held
"July 14, 2002",Republic of Mali,Election for Assemblée Nationale (Malian National Assembly),Held
"June 30, 2002",Plurinational State of Bolivia,Election for Camara de Senadores (Bolivian Chamber of Senators),Held
"June 30, 2002",Plurinational State of Bolivia,Election for Camara de Diputados (Bolivian Chamber of Deputies),Held
"June 30, 2002",Plurinational State of Bolivia,Election for President,Held
"June 24, 2002",Republic of the Congo,Election for Assemblée Nationale (Congolese National Assembly),Held
"June 16, 2002",French Republic,Election for Assemblée Nationale (National Assembly of France),Held
"June 15, 2002",Independent State of Papua New Guinea,Election for National Parliament of Papua New Guinea,Held
"June 14, 2002",Czech Republic,Election for Poslanecká Sněmovna (Czech Chamber of Deputies),Held
"June 14, 2002",Czech Republic,Election for Senát (Czech Senate),Held
"June 9, 2002",French Republic,Election for Assemblée Nationale (National Assembly of France),Held
"June 2, 2002",Swiss Confederation,Referendum,Held
"May 30, 2002",People's Democratic Republic of Algeria,Election for Al-Majlis Ech-Chaabi Al-Watani (Algerian National People's Assembly),Held
"May 26, 2002",Republic of Colombia,Election for President,Held
"May 25, 2002",Kingdom of Lesotho,Election for Lesotho National Assembly,Held
"May 19, 2002",Socialist Republic of Vietnam,Election for Quoc-Hoi (Vietnamese National Assembly),Held
"May 18, 2002",Ireland,Election for Dáil Éireann (Irish House of Representatives),Held
"May 16, 2002",Dominican Republic,Election for Camara de Diputados (Dominican Chamber of Deputies),Held
"May 16, 2002",Dominican Republic,Election for Senado (Dominican Senate),Held
"May 15, 2002",Kingdom of the Netherlands,Election for Tweede Kamer (Dutch Second Chamber),Held
"May 14, 2002",Republic of Sierra Leone,Election for Sierra Leonean Parliament,Held
"May 14, 2002",Republic of Sierra Leone,Election for President,Held
"May 12, 2002",Republic of Mali,Election for President,Held
"May 5, 2002",French Republic,Election for President (President of France),Held
"May 5, 2002",Burkina Faso,Election for Assemblée Nationale (Burkinabe National Assembly),Held
"May 2, 2002",Commonwealth of the Bahamas,Election for Bahaman House of Assembly,Held
"April 30, 2002",Republic of Vanuatu,Election for Ni-Vanuatu Parliament,Held
"April 30, 2002",Islamic Republic of Pakistan,Referendum,Held
"April 30, 2002",Faroe Islands,Election for Løgting (Faroese Parliament),Held
"April 28, 2002",Republic of Mali,Election for President,Held
"April 21, 2002",Hungary,Election for Országgyűlés (Hungarian National Assembly),Held
"April 21, 2002",French Republic,Election for President (President of France),Held
"April 14, 2002",Union of the Comoros,Election for President,Held
"April 14, 2002",Democratic Republic of Timor-Leste,Election for President,Held
"April 7, 2002",Hungary,Election for Országgyűlés (Hungarian National Assembly),Held
"April 7, 2002",Republic of Costa Rica,Election for President,Held
"March 31, 2002",Ukraine,Election for Verkhovna Rada (Ukrainian Supreme Council),Held
"March 17, 2002",Portuguese Republic,Election for Assembleia da República (Portuguese Assembly of the Republic),Held
"March 10, 2002",Republic of the Congo,Election for President,Held
"March 10, 2002",Republic of Colombia,Election for Senado (Colombian Senate),Held
"March 10, 2002",Republic of Colombia,Election for Camara de Representantes (Colombian House of Representatives),Held
"March 10, 2002",Republic of the Congo,Election for Sénat (Congolese Senate),Held
"March 10, 2002",Republic of the Congo,Election for Assemblée Nationale (Congolese National Assembly),Held
"March 9, 2002",Republic of Zimbabwe,Election for President,Held
"March 6, 2002",Ireland,Referendum,Held
"March 3, 2002",Swiss Confederation,Referendum,Held
"March 3, 2002",Democratic Republic of Sao Tome and Principe,Election for Assembleia Nacional (Sao Tomean National Assembly),Held
"Feb. 27, 2002",Commonwealth of the Bahamas,Referendum,Held
"Feb. 24, 2002",Lao People's Democratic Republic,Election for Sapha Heng Xat (Laotian National Assembly),Held
"Feb. 3, 2002",Republic of Costa Rica,Election for Asamblea Legislativa (Costa Rican Legislative Assembly),Held
"Feb. 3, 2002",Republic of Costa Rica,Election for President,Held
"Jan. 20, 2002",Republic of the Congo,Referendum,Held
"Dec. 27, 2001",Republic of Zambia,Election for President,Held
"Dec. 27, 2001",Republic of Zambia,Election for Zambian National Assembly,Held
"Dec. 23, 2001",Union of the Comoros,Referendum,Held
"Dec. 16, 2001",Republic of Chile,Election for Camara de Diputados (Chilean Chamber of Deputies),Held
"Dec. 16, 2001",Republic of Madagascar,Election for President,Held
"Dec. 16, 2001",Republic of Chile,Election for Senado (Chilean Senate),Held
"Dec. 10, 2001",Republic of Trinidad and Tobago,Election for Trinidadian House of Representatives,Held
"Dec. 5, 2001",Democratic Socialist Republic of Sri Lanka,Election for Sri Lankan Parliament,Held
"Dec. 5, 2001",Solomon Islands,Election for Solomon Islander National Parliament,Held
"Dec. 3, 2001",Saint Lucia,Election for Saint Lucian House of Representatives,Held
"Dec. 1, 2001",Republic of China,Election for Taiwanese Legislative Yuan,Held
"Nov. 25, 2001",Republic of Honduras,Election for Congreso Nacional (Honduran National Congress),Held
"Nov. 25, 2001",Republic of Honduras,Election for President,Held
"Nov. 20, 2001",Kingdom of Denmark,Election for Folketinget (Danish Parliament),Held
"Nov. 18, 2001",Republic of Bulgaria,Election for President,Held
"Nov. 15, 2001",Burkina Faso,Election for President,Held
"Nov. 11, 2001",Republic of Guinea,Referendum,Held
"Nov. 11, 2001",Republic of Bulgaria,Election for President,Held
"Nov. 10, 2001",Commonwealth of Australia,Election for Australian House of Representatives,Held
"Nov. 10, 2001",Commonwealth of Australia,Election for Australian Senate,Held
"Nov. 4, 2001",Republic of Nicaragua,Election for President,Held
"Nov. 3, 2001",Republic of Singapore,Election for Singapore Parliament,Held
"Oct. 26, 2001",Islamic Republic of Mauritania,Election for Majlis al-Shuyukh (Mauritanian Senate),Held
"Oct. 21, 2001",Autonomous Community of Galicia,Election for Parlamento de Galicia (Parliament of Galicia),Held
"Oct. 19, 2001",Islamic Republic of Mauritania,Election for Al Jamiya Al Wataniya (Mauritanian National Assembly),Held
"Oct. 18, 2001",Republic of The Gambia,Election for President,Held
"Oct. 14, 2001",Argentine Republic,Election for Cámara de Diputados (Argentinian Chamber of Deputies),Held
"Oct. 14, 2001",Argentine Republic,Election for Senado (Argentinian Senate),Held
"Oct. 7, 2001",Italian Republic,Referendum,Held
"Oct. 1, 2001",People's Republic of Bangladesh,Election for Jatiya Sangsad (Bangladeshi National Parliament),Held
"Sept. 23, 2001",Republic of Poland,Election for Senat (Polish Senate),Held
"Sept. 23, 2001",Republic of Poland,Election for Sejm (Polish Sejm),Held
"Sept. 10, 2001",Kingdom of Norway,Election for Storting (Norwegian Parliament),Held
"Sept. 9, 2001",Republic of Belarus,Election for President,Held
"Aug. 31, 2001",Republic of Seychelles,Election for President,Held
"Aug. 30, 2001",Democratic Republic of Timor-Leste,Election for Timorese National Parliament,Held
"Aug. 25, 2001",Republic of Fiji,Election for Fijian House of Representatives,Held
"July 29, 2001",Japan,Election for Shugiin (Japanese House of Representatives),Held
"July 29, 2001",Japan,Election for Sangiin (Japanese House of Councillors),Held
"July 29, 2001",Democratic Republic of Sao Tome and Principe,Election for President,Held
"June 26, 2001",Republic of Uganda,Election for Parliament (Ugandan National Assembly),Held
"June 24, 2001",Republic of Albania,Election for Kuvendi i Shqipërisë (Parliament of Albania),Held
"June 17, 2001",Republic of Bulgaria,Election for Narodno Sabranie (Bulgarian National Assembly),Held
"June 10, 2001",Republic of San Marino,Election for Consiglio Grande e Generale (Sammarinese Grand and General Council),Held
"June 8, 2001",Islamic Republic of Iran,Election for President,Held
"June 7, 2001",United Kingdom of Great Britain and Northern Ireland,Election for British House of Commons,Held
"June 3, 2001",Republic of Peru,Election for President,Held
"May 27, 2001",Republic of Cyprus,Election for Vouli Antiprosopon (Cypriot House of Representatives),Held
"May 20, 2001",Republic of Chad,Election for President,Held
"May 20, 2001",Mongolia,Election for President,Held
"May 14, 2001",Republic of the Philippines,Election for Senado (Philippine Senate),Held
